train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
76,6200;1,5899;75,5500;1,6554;57,0310;47,4000;75,5500;57,0310;47,4000
76,7060;1,5816;75,2700;1,6411;57,7655;47,0300;75,2700;57,7655;47,0300
76,7040;1,5784;75,2900;1,6350;58,1793;45,2700;75,2900;58,1793;45,2700
77,7000;1,5594;75,4100;1,6439;58,0069;46,8500;75,4100;58,0069;46,8500
77,3420;1,5607;75,7300;1,6339;58,4138;47,9000;75,7300;58,4138;47,9000
77,5380;1,5586;76,0700;1,6205;59,2000;48,0000;76,0700;59,2000;48,0000
78,0580;1,5416;76,4400;1,6058;59,4414;48,0700;76,4400;59,4414;48,0700
78,4680;1,5256;76,5900;1,6010;58,8345;48,6100;76,5900;58,8345;48,6100
78,3580;1,5310;76,4700;1,5983;59,3828;49,4600;76,4700;59,3828;49,4600
78,3580;1,5274;76,7000;1,5972;59,5276;48,6000;76,7000;59,5276;48,6000
78,8680;1,5127;76,8800;1,5990;59,6690;47,9500;76,8800;59,6690;47,9500
78,9980;1,5130;77,4100;1,5822;60,5897;48,6000;77,4100;60,5897;48,6000
79,1040;1,5032;77,1200;1,5874;60,1828;49,4400;77,1200;60,1828;49,4400
79,5480;1,4918;77,3100;1,5771;59,7621;48,4300;77,3100;59,7621;48,4300
79,1780;1,5003;77,2900;1,5694;60,0069;47,7900;77,2900;60,0069;47,7900
79,5740;1,4874;77,5800;1,5708;60,3655;48,5300;77,5800;60,3655;48,5300
79,8040;1,4851;77,4900;1,5775;60,0276;49,1900;77,4900;60,0276;49,1900
79,3760;1,4973;77,3000;1,5797;60,1207;48,7700;77,3000;60,1207;48,7700
79,4620;1,4917;77,6100;1,5688;60,5828;49,2500;77,6100;60,5828;49,2500
79,8260;1,4829;77,5500;1,5704;60,3966;49,1200;77,5500;60,3966;49,1200
72,3540;1,7248;68,6500;1,8596;51,8759;40,0500;68,6500;51,8759;40,0500
70,6760;1,7805;70,3000;1,8096;53,6897;42,0500;70,3000;53,6897;42,0500
70,5360;1,7874;69,0400;1,8412;53,6897;41,1900;69,0400;53,6897;41,1900
70,6080;1,7842;68,8000;1,8410;54,0241;38,3900;68,8000;54,0241;38,3900
70,5440;1,7868;70,0100;1,8079;53,8103;42,0900;70,0100;53,8103;42,0900
70,9400;1,7740;69,7000;1,8197;52,6276;40,5900;69,7000;52,6276;40,5900
70,6520;1,7838;70,5900;1,7947;54,2862;42,3300;70,5900;54,2862;42,3300
70,8880;1,7686;70,4400;1,7844;54,8276;39,1900;70,4400;54,8276;39,1900
